Session,UID,Sample,d45,d46,d47
2015-03 - 2018-05,58486,HG1000,-0.79667,-2.33670,-3.97960
2015-03 - 2018-05,58563,HG1000,-24.72780,-19.88430,-45.38940
2015-03 - 2018-05,58701,HG1000,-25.27460,-20.92740,-46.95210
2015-03 - 2018-05,58774,HG1000,-0.11153,-0.68474,-1.66330
2015-03 - 2018-05,59050,HG1000,-25.16180,-36.25390,-61.48070
2015-03 - 2018-05,59057,HG1000,-0.04445,-2.81170,-3.65410
2015-03 - 2018-05,59064,HG1000,-0.23138,-3.20310,-4.21350
2015-03 - 2018-05,59121,HG1000,-0.05732,-0.77435,-1.70010
2015-03 - 2018-05,59128,HG1000,-0.22645,-4.22750,-5.24910
2015-03 - 2018-05,59135,HG1000,-0.17061,-4.42810,-5.40760
2015-03 - 2018-05,59206,HG1000,-0.15112,-4.03250,-4.94890
2015-03 - 2018-05,59278,ETH-2,-0.41097,-12.94330,-13.83920
2015-03 - 2018-05,59285,ETH-2,-0.34894,-12.83920,-13.69060
2015-03 - 2018-05,59737,ETH-2,-0.23511,-12.86320,-13.58690
2015-03 - 2018-05,59995,ETH-2,-0.22168,-12.97470,-13.68070
2015-03 - 2018-05,60002,ETH-2,-0.20677,-12.81870,-13.49560
2015-03 - 2018-05,60009,ETH-2,-0.21791,-12.94550,-13.61980
2015-03 - 2018-05,60037,HG1000,-0.01441,-2.10150,-2.97100
2015-03 - 2018-05,60094,ETH-1,11.84420,3.61220,15.09100
2015-03 - 2018-05,60171,ETH-3,11.56810,4.05090,15.61410
2015-03 - 2018-05,60517,ETH-4,-0.28783,-13.04950,-13.59620
2015-03 - 2018-05,60524,ETH-2,-0.23490,-12.89030,-13.62550
2015-03 - 2018-05,60538,ETH-1,11.74640,3.61900,15.01910
2015-03 - 2018-05,60586,EG60,-0.04815,-7.56900,-7.64480
2015-03 - 2018-05,60600,HG1000,-0.10212,-3.55980,-4.46670
2015-03 - 2018-05,60630,ETH-3,11.44880,4.07000,15.51150
2015-03 - 2018-05,60702,EG60,1.16040,29.38840,29.93430
2015-03 - 2018-05,60709,EG4,0.29922,1.50030,1.87450
2015-03 - 2018-05,60716,EG60,-0.06946,-7.33570,-7.45190
2015-03 - 2018-05,60882,ETH-1,11.70450,3.88860,15.22740
2015-03 - 2018-05,61594,ETH-3,11.43640,4.32710,15.77290
2015-03 - 2018-05,61679,ETH-3,11.46450,4.50270,15.97740
2015-03 - 2018-05,62355,EG60,-25.58020,-47.58920,-72.07250
2015-03 - 2018-05,62362,EG23,-25.33220,-41.78770,-66.12750
2015-03 - 2018-05,62369,EG23,-22.30930,35.34030,10.89560
2015-03 - 2018-05,62376,EG23,-22.86710,35.17010,10.12680
2015-03 - 2018-05,62468,EG4,-22.78670,38.70400,13.71860
2015-03 - 2018-05,62475,EG4,-1.66090,-38.23700,-39.15070
2015-03 - 2018-05,62629,ETH-1,11.68860,3.76790,15.07470
2015-03 - 2018-05,62664,ETH-1,11.70890,3.80880,15.14380
2015-03 - 2018-05,62735,EG4,-25.50740,-38.72550,-63.28030
2015-03 - 2018-05,62742,EG60,-23.23380,28.64130,3.33490
2015-03 - 2018-05,62799,EG4,-25.51550,-38.82330,-63.36200
2015-03 - 2018-05,62806,EG4,-22.82650,38.63590,13.60270
2015-03 - 2018-05,62891,EG4,-1.62420,-38.40740,-39.27750
2015-03 - 2018-05,62919,ETH-2,-0.29788,-12.74280,-13.50340
2015-03 - 2018-05,63592,ETH-3,11.43810,4.48960,15.94450
2015-03 - 2018-05,63908,ETH-1,11.70200,4.05640,15.40490
2015-03 - 2018-05,63950,ETH-2,-0.33463,-12.44660,-13.28190
2015-03 - 2018-05,64312,ETH-3,11.37430,4.50190,15.89560
2015-03 - 2018-05,64347,ETH-4,-0.41618,-12.56170,-13.22080
2015-03 - 2018-05,64386,ETH-1,11.67070,4.14980,15.44050
2015-03 - 2018-05,64619,ETH-2,-0.32931,-12.58010,-13.38970
2015-03 - 2018-05,64661,ETH-3,11.45210,4.44580,15.93070
2015-03 - 2018-05,64771,ETH-4,-0.36890,-12.22140,-12.84990
2015-03 - 2018-05,64807,ETH-1,11.58400,4.06360,15.31530
2015-03 - 2018-05,65246,ETH-2,-0.40121,-12.42560,-13.29790
2015-03 - 2018-05,65274,ETH-3,11.34350,4.52280,15.89730
2015-03 - 2018-05,65295,ETH-4,-0.45329,-12.53600,-13.24320
2015-03 - 2018-05,65773,ETH-3,11.29750,4.54010,15.88660
2015-03 - 2018-05,66160,ETH-2,-0.19327,-12.15280,-12.83820
2015-03 - 2018-05,66328,ETH-1,11.20200,4.18530,15.03900
2015-03 - 2018-05,66396,ETH-4,-1.36300,-11.64500,-13.27030
2015-03 - 2018-05,66438,ETH-4,-0.28681,-12.26430,-12.79210
2015-03 - 2018-05,66827,ETH-2,-0.27753,-12.55440,-13.35500
2015-03 - 2018-05,67306,ETH-2,-0.09690,-11.85190,-12.42180
2015-03 - 2018-05,67538,ETH-3,11.43610,4.58880,16.06230
2015-03 - 2018-05,68331,ETH-1,11.73860,3.83310,15.21030
2015-03 - 2018-05,68352,ETH-4,-0.27866,-12.69180,-13.22790
2015-03 - 2018-05,68446,ETH-2,-0.16219,-12.38150,-13.06070
2015-03 - 2018-05,68796,ETH-3,11.61290,4.16840,15.80520
2015-03 - 2018-05,68825,ETH-4,-0.16339,-12.87810,-13.25320
2015-03 - 2018-05,68832,HG1000,-0.50111,-3.69980,-5.01000
2015-03 - 2018-05,68839,HG1000,-24.89050,-19.93640,-45.60800
2015-03 - 2018-05,68846,HG1000,0.00153,-2.91960,-3.73080
2015-03 - 2018-05,69266,ETH-3,11.43120,4.21230,15.66580
2015-03 - 2018-05,69438,ETH-1,11.65630,3.89150,15.18090
2015-03 - 2018-05,69606,HG1000,-25.06980,-20.07330,-45.89740
2015-03 - 2018-05,69613,HG1000,-0.07013,-2.96080,-3.84140
2015-03 - 2018-05,69620,HG1000,-25.05290,-20.02370,-45.84070
2015-03 - 2018-05,69627,ETH-2,-0.35781,-12.59940,-13.47570
2015-03 - 2018-05,69704,ETH-3,11.38420,4.28280,15.68440
2015-03 - 2018-05,69813,ETH-4,-0.35635,-12.56740,-13.18470
2015-03 - 2018-05,70252,ETH-3,11.42740,4.09060,15.57340
2015-03 - 2018-05,70459,ETH-1,11.73390,3.82170,15.23390
2015-03 - 2018-05,70644,ETH-2,-0.24743,-12.60250,-13.32850
2015-03 - 2018-05,70718,ETH-3,11.52110,4.23060,15.77710
2015-03 - 2018-05,70776,ETH-4,-0.32346,-12.87850,-13.44690
2015-03 - 2018-05,70903,ETH-1,11.76140,3.71030,15.11250
2015-03 - 2018-05,71023,ETH-2,-0.24815,-12.94870,-13.68330
2015-03 - 2018-05,71145,ETH-3,11.48880,4.02930,15.56770
2015-03 - 2018-05,71271,ETH-1,11.63690,3.57560,14.88310
2015-03 - 2018-05,71802,EG4,-23.75430,1.07010,-23.37040
2015-03 - 2018-05,71816,EG60,-3.18290,-47.37440,-49.86490
2015-03 - 2018-05,71823,HG1000,-0.37277,-2.52030,-3.70520
2015-03 - 2018-05,71892,EG4,1.63420,38.49880,39.68690
2015-03 - 2018-05,71920,ETH-3,11.42080,3.77010,15.19980
2015-03 - 2018-05,72062,HG1000,-25.36870,-22.03080,-48.07780
