UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
D485,2016-10,dEG30,-3.762,33.882,-0.785330,-24.042062,-24.330385,nan,nan,-3.701528,9.000418,0.105744,nan,nan,0.908209
D486,2016-10,eHG,-3.762,33.882,0.203748,4.661096,3.989490,nan,nan,-3.717884,38.705236,-0.799457,nan,nan,0.057069
D487,2016-10,ETH-3,-3.762,33.882,5.207306,3.505492,8.498783,nan,nan,1.661524,37.497574,-0.335879,nan,nan,0.598103
D488,2016-10,ETH-3,-3.762,33.882,5.180052,3.448678,8.440028,nan,nan,1.634561,37.438836,-0.310513,nan,nan,0.626018
D489,2016-10,ETH-2,-3.762,33.882,-6.419962,-13.416610,-20.269289,nan,nan,-10.109430,20.010440,-0.552798,nan,nan,0.197519
D490,2016-10,ETH-1,-3.762,33.882,5.444531,2.955105,7.848968,nan,nan,1.934841,36.927381,-0.684285,nan,nan,0.206632
D491,2016-10,ETH-3,-3.762,33.882,5.167460,3.398458,8.355087,nan,nan,1.622990,37.386888,-0.332609,nan,nan,0.600949
D492,2016-10,ETH-3,-3.762,33.882,5.154548,3.350572,8.308961,nan,nan,1.610991,37.337357,-0.318184,nan,nan,0.616753
E6,2017-02,ETH-4,-3.742,33.896,-6.556663,-13.558147,-20.333789,nan,nan,-10.230184,19.878884,-0.335719,nan,nan,0.436893
E7,2017-02,ETH-1,-3.742,33.896,5.455700,3.022421,7.857825,nan,nan,1.964250,37.011887,-0.752893,nan,nan,0.159528
E8,2017-02,ETH-2,-3.742,33.896,-6.435081,-13.412755,-20.286435,nan,nan,-10.105948,20.029084,-0.558437,nan,nan,0.196196
E9,2017-02,ETH-3,-3.742,33.896,5.161427,3.393932,8.325521,nan,nan,1.636705,37.397085,-0.351296,nan,nan,0.596959
E10,2017-02,ETH-4,-3.742,33.896,-6.548419,-13.620499,-20.404005,nan,nan,-10.219069,19.814330,-0.353806,nan,nan,0.416889
E11,2017-02,ETH-1,-3.742,33.896,5.431791,2.925614,7.768650,nan,nan,1.942333,36.911748,-0.721970,nan,nan,0.192437
E12,2017-02,ETH-2,-3.742,33.896,-6.416368,-13.370349,-20.241817,nan,nan,-10.087572,20.072931,-0.574576,nan,nan,0.179009
E14,2017-02,eEG30,-3.742,33.896,0.322327,8.630185,8.736285,nan,nan,-3.717354,42.827893,-0.081748,nan,nan,0.891155
E15,2017-02,ETH-3,-3.742,33.896,5.184046,3.478860,8.472249,nan,nan,1.657686,37.484933,-0.312231,nan,nan,0.640134
E25,2017-02,ETH-3,-3.742,33.896,5.183249,3.466684,8.441135,nan,nan,1.657286,37.472333,-0.330330,nan,nan,0.620358
E26,2017-02,ETH-1,-3.742,33.896,5.453135,2.980740,7.844445,nan,nan,1.963055,36.968754,-0.722702,nan,nan,0.192114
E30,2017-02,dEG30,-3.742,33.896,-0.793105,-23.883381,-24.179629,nan,nan,-3.695895,9.179129,0.108408,nan,nan,0.893713
E31,2017-02,eHG,-3.742,33.896,0.219404,5.072140,4.360854,nan,nan,-3.696494,39.145518,-0.847878,nan,nan,0.035163
E33,2017-02,ETH-1,-3.742,33.896,5.453722,3.022128,7.912592,nan,nan,1.962151,37.011589,-0.696279,nan,nan,0.221125
E34,2017-02,ETH-3,-3.742,33.896,5.174804,3.410729,8.359944,nan,nan,1.650349,37.414439,-0.347346,nan,nan,0.601444
E35,2017-02,ETH-2,-3.742,33.896,-6.424268,-13.379015,-20.243479,nan,nan,-10.095674,20.063980,-0.559442,nan,nan,0.195374
E36,2017-02,ETH-3,-3.742,33.896,5.142181,3.357238,8.293439,nan,nan,1.617537,37.359152,-0.327413,nan,nan,0.622603
E37,2017-02,ETH-1,-3.742,33.896,5.431634,2.976045,7.829511,nan,nan,1.940301,36.963944,-0.710865,nan,nan,0.204830
E38,2017-02,eEG30,-3.742,33.896,0.334198,8.609773,8.731193,nan,nan,-3.703942,42.806738,-0.079148,nan,nan,0.893937
E45,2017-02,ETH-3,-3.742,33.896,5.140720,3.274572,8.193382,nan,nan,1.619035,37.273596,-0.344139,nan,nan,0.603887
E46,2017-02,ETH-1,-3.742,33.896,5.462402,3.101528,7.962067,nan,nan,1.968472,37.093747,-0.733900,nan,nan,0.180723
E50,2017-02,ETH-3,-3.742,33.896,5.160081,3.425670,8.377419,nan,nan,1.634096,37.429937,-0.329552,nan,nan,0.620807
E53,2017-02,ETH-2,-3.742,33.896,-6.438860,-13.404956,-20.276537,nan,nan,-10.110268,20.037164,-0.552185,nan,nan,0.203022
E54,2017-02,dHG,-3.742,33.896,-0.741538,-24.092627,-25.098234,nan,nan,-3.629338,8.962556,-0.677498,nan,nan,0.037664
E62,2017-02,eHG,-3.742,33.896,0.189142,4.447310,3.699401,nan,nan,-3.705682,38.498887,-0.864099,nan,nan,0.013528
E65,2017-02,ETH-3,-3.742,33.896,5.175265,3.421559,8.396053,nan,nan,1.650440,37.425647,-0.322630,nan,nan,0.628411
E66,2017-02,ETH-1,-3.742,33.896,5.450473,2.966336,7.832687,nan,nan,1.960749,36.953852,-0.717521,nan,nan,0.197647
E67,2017-02,ETH-2,-3.742,33.896,-6.422946,-13.440439,-20.283176,nan,nan,-10.091975,20.000403,-0.540135,nan,nan,0.216020
E70,2017-02,dEG30,-3.742,33.896,-0.800664,-23.838859,-24.156093,nan,nan,-3.705623,9.225226,0.095476,nan,nan,0.879866
E72,2017-02,ETH-2,-3.742,33.896,-6.425508,-13.401969,-20.260586,nan,nan,-10.096141,20.040225,-0.552745,nan,nan,0.202514
E76,2017-02,ETH-3,-3.742,33.896,5.158627,3.337725,8.283111,nan,nan,1.635796,37.338918,-0.335411,nan,nan,0.613884
E77,2017-02,dHG,-3.742,33.896,-0.733471,-23.631175,-24.636300,nan,nan,-3.638015,9.440134,-0.676972,nan,nan,0.041084
E78,2017-02,ETH-1,-3.742,33.896,5.462225,3.031676,7.919750,nan,nan,1.970866,37.021451,-0.707253,nan,nan,0.209295
E82,2017-02,ETH-4,-3.742,33.896,-6.575342,-13.658186,-20.422840,nan,nan,-10.246375,19.775386,-0.307525,nan,nan,0.466851
E87,2017-02,ETH-4,-3.742,33.896,-6.555942,-13.639453,-20.386781,nan,nan,-10.226385,19.794730,-0.309533,nan,nan,0.464899
